model,task,method,feature,noise_percentage,mean,std,n,sem,ci_half,ci_low,ci_high
cnn_lstm,binary,noise,Dst Port,35.0,0.9034997886583934,0.012969982741770693,20,0.002900176307759837,0.006070138774166413,0.897429649884227,0.9095699274325598
cnn_lstm,binary,noise,Dst Port,50.0,0.8988939454913039,0.012940385642323216,20,0.002893558195129699,0.00605628690523675,0.8928376585860671,0.9049502323965406
cnn_lstm,binary,noise,Dst Port,75.0,0.8834688480857211,0.01622993866745915,20,0.0036291246131091013,0.007595845111682596,0.8758730029740386,0.8910646931974037
cnn_lstm,binary,noise,Fwd Act Data Pkts,5.0,0.9316334068414728,0.0027241554505079294,20,0.0006091396768612294,0.0012749439961650573,0.9303584628453078,0.9329083508376378
cnn_lstm,binary,noise,Fwd Act Data Pkts,10.0,0.9313439528992852,0.004062415598337235,20,0.0009083837430737538,0.0019012690248868236,0.9294426838743983,0.933245221924172
cnn_lstm,binary,noise,Fwd Act Data Pkts,20.0,0.931010396352038,0.0055803574002714525,20,0.001247805848575097,0.0026116876562990495,0.9283987086957389,0.933622084008337
cnn_lstm,binary,noise,Fwd Act Data Pkts,35.0,0.9316354494053984,0.003178541146717816,20,0.0007107434073341169,0.0014876030480624294,0.930147846357336,0.9331230524534608
cnn_lstm,binary,noise,Fwd Act Data Pkts,50.0,0.9331751555755797,0.0029614008509665367,20,0.0006621893611386899,0.0013859782614365486,0.9317891773141432,0.9345611338370162
cnn_lstm,binary,noise,Fwd Act Data Pkts,75.0,0.9333071555902915,0.0049310267705063825,20,0.0011026111057723526,0.002307791567039278,0.9309993640232522,0.9356149471573308
cnn_lstm,binary,noise,Fwd Blk Rate Avg,5.0,0.9317676754599601,0.0028007757623329022,20,0.0006262724994310164,0.001310803405923531,0.9304568720540366,0.9330784788658836
cnn_lstm,binary,noise,Fwd Blk Rate Avg,10.0,0.9315186310782326,0.0034088600824854773,20,0.0007622442870223067,0.0015953956280729989,0.9299232354501596,0.9331140267063056
cnn_lstm,binary,noise,Fwd Blk Rate Avg,20.0,0.9313197343572135,0.003544568882270851,20,0.0007925896971688072,0.0016589093014505105,0.929660825055763,0.932978643658664
cnn_lstm,binary,noise,Fwd Blk Rate Avg,35.0,0.9317492106995238,0.0029345059023221064,20,0.0006561754677966588,0.0013733910380110315,0.9303758196615127,0.9331226017375348
cnn_lstm,binary,noise,Fwd Blk Rate Avg,50.0,0.9312342444245525,0.0031185810395344795,20,0.0006973359197741055,0.0014595408540901455,0.9297747035704623,0.9326937852786427
cnn_lstm,binary,noise,Fwd Blk Rate Avg,75.0,0.9325788070389631,0.003130979926419903,20,0.0007001083951662193,0.0014653437117760947,0.931113463327187,0.9340441507507392
cnn_lstm,binary,noise,Fwd Seg Size Min,5.0,0.9253630217315129,0.006094112060283006,20,0.0013626848829294096,0.0028521322385498243,0.922510889492963,0.9282151539700627
cnn_lstm,binary,noise,Fwd Seg Size Min,10.0,0.9274390734219455,0.005840371955972904,20,0.001305946870743882,0.0027333782142462035,0.9247056952076993,0.9301724516361918
cnn_lstm,binary,noise,Fwd Seg Size Min,20.0,0.9273987909186239,0.003251528808792198,20,0.0007270639447258271,0.001521762325404149,0.9258770285932197,0.928920553244028
cnn_lstm,binary,noise,Fwd Seg Size Min,35.0,0.9273510828366789,0.0038281414189810796,20,0.0008559984440324197,0.001791625333895939,0.9255594575027829,0.9291427081705749
cnn_lstm,binary,noise,Fwd Seg Size Min,50.0,0.9285126199907209,0.006017680785659261,20,0.0013455943303628448,0.0028163613009248747,0.925696258689796,0.9313289812916458
