model,method,feature,noise_percentage,n,baseline,median_value,median_delta,mean_delta,p_value,significant
cnn_lstm,outliers,PSH Flag Cnt,50.0,20,0.7373443625996885,0.7421948404149804,0.004850477815291909,-0.009096874774725849,0.7841262817382812,False
cnn_lstm,outliers,PSH Flag Cnt,75.0,20,0.7373443625996885,0.7335101388530272,-0.0038342237466613693,-0.009156082524330783,0.2305126190185547,False
cnn_lstm,outliers,Protocol,5.0,20,0.7373443625996885,0.7460496889071854,0.008705326307496875,0.008424768771063124,0.02275690685955615,True
cnn_lstm,outliers,Protocol,10.0,20,0.7373443625996885,0.7503943188251073,0.013049956225418824,0.0075080658700502345,0.03332485137761509,True
cnn_lstm,outliers,Protocol,20.0,20,0.7373443625996885,0.7518685972233494,0.014524234623660925,0.009693340772826364,0.00171142256919972,True
cnn_lstm,outliers,Protocol,35.0,20,0.7373443625996885,0.7546568809533416,0.01731251835365316,0.011788304231641377,0.012366607551013901,True
cnn_lstm,outliers,Protocol,50.0,20,0.7373443625996885,0.7601905710342365,0.022846208434547932,0.019993860356296654,0.0035889055532021094,True
cnn_lstm,outliers,Protocol,75.0,20,0.7373443625996885,0.7442314681917483,0.006887105592059906,0.010731678052654403,0.02508084098587283,True
cnn_lstm,outliers,Timestamp,5.0,20,0.7373443625996885,0.7750352115097752,0.03769084891008667,0.03730126341203624,1.9073486328125e-06,True
cnn_lstm,outliers,Timestamp,10.0,20,0.7373443625996885,0.8135574270791257,0.07621306447943726,0.06798064506233112,3.814697265625e-06,True
cnn_lstm,outliers,Timestamp,20.0,20,0.7373443625996885,0.8221673200014755,0.08482295740178702,0.08116311352446555,1.9073486328125e-06,True
cnn_lstm,outliers,Timestamp,35.0,20,0.7373443625996885,0.8472585333497098,0.1099141707500213,0.10988761298877951,1.9073486328125e-06,True
cnn_lstm,outliers,Timestamp,50.0,20,0.7373443625996885,0.8869084254772968,0.1495640628776082,0.14692375193789414,1.9073486328125e-06,True
cnn_lstm,outliers,Timestamp,75.0,20,0.7373443625996885,0.8781067368984974,0.14076237429880883,0.13893357428176728,1.9073486328125e-06,True
tabnet,duplicated,Timestamp,5.0,20,0.8833252598050216,0.8776266532245369,-0.005698606580484766,-0.00446980776589242,0.007184128373726576,True
tabnet,duplicated,Timestamp,10.0,20,0.8833252598050216,0.8785632022263699,-0.004762057578651779,-0.0025370858592614785,0.1789182527836226,False
tabnet,duplicated,Timestamp,20.0,20,0.8833252598050216,0.8779436150570963,-0.005381644747925296,-0.00396032289124103,0.030350679270506366,True
tabnet,duplicated,Timestamp,35.0,20,0.8833252598050216,0.8764238496751651,-0.006901410129856511,-0.010507584784727391,0.004546406334110102,True
tabnet,duplicated,Timestamp,50.0,20,0.8833252598050216,0.8832674732190964,-5.778658592520136e-05,-0.0023099492875290617,0.39049158819249985,False
tabnet,duplicated,Timestamp,75.0,20,0.8833252598050216,0.879996719207474,-0.003328540597547669,-0.0013190964443365039,0.5754529518891389,False
tabnet,labels,Label,5.0,20,0.8833252598050216,0.8802546291800755,-0.0030706306249461135,-0.0027922111132343995,0.029575347900390625,True
tabnet,labels,Label,10.0,20,0.8833252598050216,0.882197003128254,-0.0011282566767675806,-0.003411207084852719,0.4304332733154297,False
tabnet,labels,Label,20.0,20,0.8833252598050216,0.8805447359024818,-0.0027805239025397444,-0.00492535073842969,0.03276824951171875,True
tabnet,labels,Label,35.0,20,0.8833252598050216,0.8806323540357422,-0.0026929057692793856,-0.002410646455055182,0.24548721313476562,False
tabnet,labels,Label,50.0,20,0.8833252598050216,0.879988910608082,-0.003336349196939592,-0.003827608471104066,0.0072956085205078125,True
tabnet,labels,Label,75.0,20,0.8833252598050216,0.8812773300446826,-0.0020479297603390734,-0.0015031709764715018,0.17685317993164062,False
tabnet,labels,Protocol,5.0,20,0.8833252598050216,0.8802378017964714,-0.0030874580085502035,-0.0030521175707867608,0.07929551941222376,False
tabnet,labels,Protocol,10.0,20,0.8833252598050216,0.8805624990600811,-0.0027627607449404734,-0.0031794381178197385,0.20429082561000145,False
tabnet,labels,Protocol,20.0,20,0.8833252598050216,0.878441197262756,-0.004884062542265588,-0.004435112927717555,0.002818460765308252,True
tabnet,labels,Protocol,35.0,20,0.8833252598050216,0.8780494200452966,-0.005275839759724954,-0.0049300743967613855,0.0035889055532021094,True
tabnet,labels,Protocol,50.0,20,0.8833252598050216,0.8777580842532111,-0.0055671755518105215,-0.00486123435057727,0.0004488206370567378,True
tabnet,labels,Protocol,75.0,20,0.8833252598050216,0.8748996473185091,-0.008425612486512524,-0.008575253056788945,0.00029280420251613496,True
tabnet,labels,label_generic,5.0,20,0.8833252598050216,0.876730063475893,-0.006595196329128694,-0.006972656078124573,0.0010166168212890625,True
