model,method,feature,noise_percentage,n_pairs,median_delta,mean_delta,p_value,significant
tabnet,missing,Dst Port,50.0,20,-0.1527355985900276,-0.1217667249894064,0.00018876804289503734,True
tabnet,missing,Dst Port,75.0,20,-0.1713651431551394,-0.15013275021741151,8.844915021211901e-05,True
tabnet,missing,Fwd Act Data Pkts,10.0,20,0.0018757610339420472,0.0022657696174380295,0.11685576045191039,False
tabnet,missing,Fwd Act Data Pkts,20.0,20,0.001266447605286991,0.00010560308672131203,1.0,False
tabnet,missing,Fwd Act Data Pkts,35.0,20,0.003121942259043775,0.00213169014270988,0.20429082561000145,False
tabnet,missing,Fwd Act Data Pkts,50.0,20,0.001219363339681978,0.0014251091262299231,0.350614486233492,False
tabnet,missing,Fwd Act Data Pkts,75.0,20,0.0031131060492536333,0.00036726145314568414,0.2471034270088711,False
tabnet,missing,Fwd Blk Rate Avg,10.0,20,0.0,0.0,,False
tabnet,missing,Fwd Blk Rate Avg,20.0,20,0.0,0.0,,False
tabnet,missing,Fwd Blk Rate Avg,35.0,20,0.0,0.0,,False
tabnet,missing,Fwd Blk Rate Avg,50.0,20,0.0,0.0,,False
tabnet,missing,Fwd Blk Rate Avg,75.0,20,0.0,0.0,,False
tabnet,missing,Fwd Seg Size Min,10.0,20,0.0005172316371027108,0.005634153053415097,0.2626806690239226,False
tabnet,missing,Fwd Seg Size Min,20.0,20,0.0019548131828932003,-0.0029302972279162233,0.4552335358621803,False
tabnet,missing,Fwd Seg Size Min,35.0,20,-0.0032043225543661458,0.000858306496210487,0.4552335358621803,False
tabnet,missing,Fwd Seg Size Min,50.0,20,-0.004398047793886306,-0.0025951949021619292,0.20429082561000145,False
tabnet,missing,Fwd Seg Size Min,75.0,20,-0.009316418823226646,-0.009707081669757983,0.015231184023652616,True
tabnet,missing,Idle Mean,10.0,20,0.0037112920263704385,0.0035316417522485433,0.11685576045191039,False
tabnet,missing,Idle Mean,20.0,20,0.003352692394932022,0.0009922115518704755,0.8227452173339953,False
tabnet,missing,Idle Mean,35.0,20,0.008843255663270655,0.007652753860823852,0.07311306386722158,False
tabnet,missing,Idle Mean,50.0,20,0.00421987538524099,0.00015656164851757248,0.7088811060457012,False
tabnet,missing,Idle Mean,75.0,20,0.0032499339285324003,0.002610750276096274,0.5502572060902096,False
tabnet,missing,Init Fwd Win Byts,10.0,20,-0.00448549873298304,-0.002664649350588555,0.19129516096102428,False
