model,method,feature,noise_percentage,n,baseline,median_value,median_delta,mean_delta,p_value,significant
cnn_lstm,outliers,Down_Up Ratio,30.0,5,0.7303055052351759,0.7553762140487496,0.02507070881357365,0.007884776215273415,0.75,False
cnn_lstm,outliers,Down_Up Ratio,50.0,4,0.7303055052351759,0.7546874010792128,0.024381895844036938,0.02575558537750522,0.125,False
cnn_lstm,outliers,Down_Up Ratio,75.0,4,0.7303055052351759,0.7546653461228762,0.024359840887700268,0.022074078956408172,0.125,False
cnn_lstm,outliers,FIN Flag Cnt,1.0,5,0.7303055052351759,0.7276371377066682,-0.0026683675285077424,0.019314991559011885,0.625,False
cnn_lstm,outliers,FIN Flag Cnt,5.0,5,0.7303055052351759,0.7610009859404309,0.030695480705254963,0.04080492977780594,0.0625,False
cnn_lstm,outliers,FIN Flag Cnt,10.0,5,0.7303055052351759,0.7731928329439666,0.04288732770879067,0.03657916034440718,0.0625,False
cnn_lstm,outliers,FIN Flag Cnt,20.0,5,0.7303055052351759,0.7662928601643454,0.03598735492916949,0.03175469650281613,0.0625,False
cnn_lstm,outliers,FIN Flag Cnt,30.0,5,0.7303055052351759,0.7659554079485995,0.03564990271342361,0.029682724086015,0.0625,False
cnn_lstm,outliers,FIN Flag Cnt,50.0,4,0.7303055052351759,0.7394403105666587,0.00913480533148281,0.00913480533148281,0.125,False
cnn_lstm,outliers,FIN Flag Cnt,75.0,4,0.7303055052351759,0.7557080575664878,0.025402552331311945,0.025402552331311945,0.125,False
cnn_lstm,outliers,Protocol,1.0,5,0.7303055052351759,0.7527977728338132,0.022492267598637317,-0.09591749448366957,0.625,False
cnn_lstm,outliers,Protocol,5.0,5,0.7303055052351759,0.7613102168937511,0.031004711658575212,-0.17706764551314283,0.625,False
cnn_lstm,outliers,Protocol,10.0,5,0.7303055052351759,0.7441471751443078,0.013841669909131937,-0.1627211914109955,0.625,False
cnn_lstm,outliers,Protocol,20.0,5,0.7303055052351759,0.7385250408958222,0.00821953566064626,-0.27787272142496133,0.625,False
cnn_lstm,outliers,Protocol,30.0,5,0.7303055052351759,0.7585289676721628,0.028223462436986924,-0.2069552333155647,0.625,False
cnn_lstm,outliers,Protocol,50.0,4,0.7303055052351759,0.7606052559806361,0.030299750745460208,0.030299750745460208,0.125,False
cnn_lstm,outliers,Protocol,75.0,4,0.7303055052351759,0.7710409754287065,0.04073547019353063,0.04073547019353063,0.125,False
cnn_lstm,outliers,Timestamp,1.0,5,0.7303055052351759,0.7562855428421642,0.025980037606988304,0.021007652582489534,0.0625,False
